Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Close
BTC,4/19/2021,56850.83017,60191.52541,60531.98885,52148.98354,5.685083017
BTC,4/20/2021,56224.10159,56335.38914,57609.36812,54449.24533,5.622410159
BTC,4/21/2021,56608.76975,55723.22726,57121.9439,53442.85166,5.660876975
BTC,4/22/2021,54144.42748,56508.15124,56809.14639,53913.85052,5.414442748
BTC,4/23/2021,51965.05956,53830.82386,55471.07637,50500.73186,5.196505956
BTC,4/24/2021,50669.14438,51714.07397,52111.18507,47467.91203,5.066914438
BTC,4/25/2021,50733.7695,51217.17233,51253.44295,48932.15881,5.07337695
BTC,4/26/2021,48542.9522,50177.2374,50668.65902,47105.59307,4.85429522
BTC,4/27/2021,53558.70784,49139.23095,54398.59279,48854.58137,5.355870784
BTC,4/28/2021,55123.86198,54059.47407,55398.07415,53351.1154,5.512386198
BTC,4/29/2021,54591.51533,55086.93871,56458.63581,53915.35483,5.459151533
BTC,4/30/2021,53260.29534,54893.87167,55224.90796,52403.74361,5.326029534
BTC,5/1/2021,57302.64642,53598.8795,57434.93313,53097.76279,5.730264642
BTC,5/2/2021,57677.97522,57741.02091,58511.25605,57062.70007,5.767797522
BTC,5/3/2021,56427.04313,57824.30019,57925.74157,56123.03951,5.642704313
BTC,5/4/2021,57255.30684,56639.43979,59001.35964,56508.24045,5.725530684
BTC,5/5/2021,53658.84312,57218.80533,57246.89119,53613.59522,5.365884312
BTC,5/6/2021,57252.70218,53270.22912,57977.61342,52987.15866,5.725270218
BTC,5/7/2021,56583.84988,57459.05218,58368.68209,55330.72786,5.658384988
BTC,5/8/2021,57107.12067,56439.1334,58724.11078,55320.95812,5.710712067
BTC,5/9/2021,58788.20968,57419.14789,59575.46311,57028.49805,5.878820968
BTC,5/10/2021,58102.19143,58966.91501,59249.14168,56494.91533,5.810219143
BTC,5/11/2021,55715.54665,58308.31805,59560.02546,53774.62824,5.571554665
BTC,5/12/2021,56573.55547,55899.75297,56956.07503,54571.69321,5.657355547
BTC,5/13/2021,52147.82119,56767.71106,58036.50978,51625.54785,5.214782119
BTC,5/14/2021,49764.13208,49596.77889,51448.79858,46294.72018,4.976413208
BTC,5/15/2021,50032.69314,49717.35435,51578.31254,48944.34654,5.003269314
BTC,5/16/2021,47885.62525,49926.03507,50690.80295,47005.10229,4.788562525
BTC,5/17/2021,45604.61575,46805.53785,49670.41417,43868.63897,4.560461575
BTC,5/18/2021,43144.47129,46439.33657,46622.85344,42102.34643,4.314447129
BTC,5/19/2021,43196.04648,43559.59756,45850.23167,42469.97557,4.319604648
BTC,5/20/2021,39439.23764,42920.74886,43604.56959,30201.95732,3.943923764
BTC,5/21/2021,39756.08985,36795.42298,42589.86396,35670.94838,3.975608985
BTC,5/22/2021,36921.76781,40685.32514,42278.00518,33594.9589,3.692176781
BTC,5/23/2021,37490.94189,37359.78201,38889.85969,35304.2276,3.749094189
BTC,5/24/2021,34259.54842,37521.89077,38267.29928,31179.69036,3.425954842
BTC,5/25/2021,38085.78936,34737.62802,39966.87647,34485.43104,3.808578936
BTC,5/26/2021,38290.44853,38888.31953,39855.11634,36498.63953,3.829044853
BTC,5/27/2021,38915.00483,38381.73602,40894.43677,37857.49979,3.891500483
BTC,5/28/2021,38717.76922,39307.54389,40430.21373,37233.69324,3.871776922
BTC,5/29/2021,34898.00872,38562.13832,38899.1654,34741.95807,3.489800872
BTC,5/30/2021,34535.52247,35698.95278,37320.48202,33701.80064,3.453552247
BTC,5/31/2021,35749.65569,34658.19244,36522.21153,33488.46475,3.574965569
BTC,6/1/2021,36929.47674,35678.44389,37485.69849,34221.84833,3.692947674
BTC,6/2/2021,36419.7495,37271.39122,37818.47819,35715.745,3.64197495
BTC,6/3/2021,37422.57146,36686.46947,38214.79246,35936.28283,3.742257146
BTC,6/4/2021,38958.49278,37578.33653,39473.29743,37209.19852,3.895849278
BTC,6/5/2021,37190.10135,39247.49516,39287.31295,35593.79257,3.719010135
BTC,6/6/2021,34981.38069,36879.60608,37956.26443,34873.6381,3.498138069
BTC,6/7/2021,35335.6792,35560.48183,36492.44706,35281.56318,3.53356792
BTC,6/8/2021,34016.56534,35817.5128,36782.08794,33629.66402,3.401656534
BTC,6/9/2021,33504.25661,33597.68673,34080.42046,31035.49458,3.350425661
BTC,6/10/2021,37127.18972,33412.71682,37332.45144,32437.09146,3.712718972
BTC,6/11/2021,36715.0471,37403.60397,38461.25074,35827.50618,3.67150471
BTC,6/12/2021,37341.58943,36695.08131,37587.39855,35982.33038,3.734158943
BTC,6/13/2021,35655.16445,37339.00024,37459.96028,34682.01043,3.565516445
BTC,6/14/2021,38894.55627,35568.31876,39295.84866,34822.58005,3.889455627
BTC,6/15/2021,40162.32007,39016.52826,41046.76952,38750.01315,4.016232007
