datetime_eth,closingPrice,ARIMA,Error,datetime_eth,Error_pred,ARIMA_LSTM
2021-04-03,0.209659,0.08895706509432855,0.12070193490567147,2021-04-03,0.118528806,0.20748587076745095
2021-04-04,0.203675,0.08911137547168692,0.11456362452831308,2021-04-04,0.120128036,0.20923941101703603
2021-04-05,0.20675100000000002,0.08926568584904529,0.11748531415095473,2021-04-05,0.12267759,0.21194327282175876
2021-04-06,0.211414,0.08941999622640366,0.12199400377359633,2021-04-06,0.11948419,0.20890418984946962
2021-04-07,0.21176,0.08957430660376203,0.12218569339623797,2021-04-07,0.11743548,0.20700978427776945
2021-04-08,0.201155,0.0897286169811204,0.1114263830188796,2021-04-08,0.117301196,0.20702981284102945
2021-04-09,0.20696599999999998,0.08988292735847878,0.11708307264152121,2021-04-09,0.1203781,0.21026102674040245
2021-04-10,0.20706,0.09003723773583715,0.11702276226416285,2021-04-10,0.12291602,0.2129532581888134
2021-04-11,0.211871,0.09019154811319552,0.12167945188680448,2021-04-11,0.124869265,0.2150608127754613
2021-04-12,0.21370999999999998,0.09034585849055389,0.12336414150944609,2021-04-12,0.13084649,0.2211923439861212
2021-04-13,0.214442,0.09050016886791226,0.12394183113208773,2021-04-13,0.1423684,0.23286857492527005
2021-04-14,0.228091,0.09065447924527063,0.13743652075472934,2021-04-14,0.15370789,0.24436237094792262
2021-04-15,0.242781,0.090808789622629,0.151972210377371,2021-04-15,0.1547389,0.2455476926682833
2021-04-16,0.253806,0.09096309999998738,0.1628429000000126,2021-04-16,0.14827353,0.23923662762221026
2021-04-17,0.24384299999999998,0.09111741037734575,0.15272558962265423,2021-04-17,0.13987468,0.23099209220775194
2021-04-18,0.23747600000000002,0.09127172075470412,0.1462042792452959,2021-04-18,0.132369,0.22364071749409165
2021-04-19,0.22490100000000002,0.09142603113206249,0.13347496886793753,2021-04-19,0.13490267,0.2263287021115623
2021-04-20,0.220165,0.09158034150942086,0.12858465849057915,2021-04-20,0.14127553,0.23285586660249946
2021-04-21,0.232918,0.09173465188677923,0.14118334811322075,2021-04-21,0.14567278,0.23740743514235632
2021-04-22,0.23655500000000002,0.0918889622641376,0.1446660377358624,2021-04-22,0.14421591,0.23610487389095342
2021-04-23,0.24242199999999997,0.09204327264149598,0.150378727358504,2021-04-23,0.13804467,0.23008794286568574
2021-04-24,0.23290300000000003,0.09219758301885435,0.1407054169811457,2021-04-24,0.13531709,0.22751467019231625
2021-04-25,0.227138,0.09235189339621272,0.1347861066037873,2021-04-25,0.14489561,0.23724750658972468
2021-04-26,0.227623,0.09250620377357109,0.13511679622642891,2021-04-26,0.15932462,0.25183081996734247
2021-04-27,0.251531,0.09266051415092946,0.15887048584907054,2021-04-27,0.1693222,0.26198270681984426
2021-04-28,0.262436,0.09281482452828783,0.16962117547171218,2021-04-28,0.17553115,0.2683459734388103
2021-04-29,0.272615,0.0929691349056462,0.1796458650943538,2021-04-29,0.17696375,0.26993288145334515
2021-04-30,0.276033,0.09312344528300458,0.18290955471699538,2021-04-30,0.18496099,0.2780844364271849
2021-05-01,0.275187,0.09327775566036295,0.18190924433963707,2021-05-01,0.19302925,0.28630701033527445
2021-05-02,0.29431799999999997,0.09343206603772132,0.20088593396227866,2021-05-02,0.21407372,0.30750578363186803
2021-05-03,0.294114,0.09358637641507969,0.2005276235849203,2021-05-03,0.2282981,0.32188447426397193
2021-05-04,0.339333,0.09374068679243806,0.24559231320756192,2021-05-04,0.23516127,0.32890196146399264
2021-05-05,0.32664499999999996,0.09389499716979643,0.23275000283020353,2021-05-05,0.24732769,0.34122268252593657
2021-05-06,0.349597,0.0940493075471548,0.2555476924528452,2021-05-06,0.24538663,0.33943593784386195
2021-05-07,0.354193,0.09420361792451318,0.25998938207548683,2021-05-07,0.26209196,0.35629558240777426
2021-05-08,0.344543,0.09435792830187155,0.2501850716981284,2021-05-08,0.27907872,0.37343665030199363
2021-05-09,0.388281,0.09451223867922992,0.29376876132077007,2021-05-09,0.2886722,0.38318444746524066
2021-05-10,0.38963200000000003,0.09466654905658829,0.29496545094341176,2021-05-10,0.2990976,0.3937641466556178
2021-05-11,0.399891,0.09482085943394666,0.3050701405660533,2021-05-11,0.30111974,0.39594060421162613
2021-05-12,0.41327600000000003,0.09497516981130504,0.318300830188695,2021-05-12,0.28426728,0.3792424463368025
2021-05-13,0.407696,0.0951294801886634,0.3125665198113366,2021-05-13,0.2883771,0.3835065863783912
2021-05-14,0.376709,0.09528379056602178,0.28142520943397825,2021-05-14,0.28044605,0.3757298431172913
2021-05-15,0.41000299999999995,0.09543810094338015,0.3145648990566198,2021-05-15,0.25788373,0.3533218284938867
2021-05-16,0.374658,0.09559241132073852,0.27906558867926146,2021-05-16,0.2330839,0.3286763151102588
2021-05-17,0.35191100000000003,0.09574672169809689,0.25616427830190314,2021-05-17,0.22818375,0.3239304680359875
2021-05-18,0.323194,0.09590103207545526,0.22729296792454473,2021-05-18,0.20184234,0.29774336992221123
2021-05-19,0.341595,0.09605534245281364,0.24553965754718635,2021-05-19,0.17301077,0.26906610895900873
2021-05-20,0.268617,0.09620965283017201,0.17240734716982797,2021-05-20,0.1584608,0.25467044870953603
2021-05-21,0.274452,0.09636396320753038,0.1780880367924696,2021-05-21,0.1412219,0.23758585902147233
