Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Closing_Price
BTC,2020-08-11,11832.22731,11693.17945,12070.44182,11546.95776,1.183222731
BTC,2020-08-12,11340.58234,11903.3335,11941.6518,11137.81368,1.134058234
BTC,2020-08-13,11549.54631,11399.06848,11626.23784,11166.54478,1.154954631
BTC,2020-08-14,11752.16866,11571.10263,11795.43575,11287.64679,1.175216866
BTC,2020-08-15,11783.28341,11789.95953,11867.28291,11663.41146,1.178328341
BTC,2020-08-16,11895.62695,11782.78559,11987.65155,11714.58902,1.189562695
BTC,2020-08-17,11896.94717,11862.38742,11938.8761,11705.49261,1.189694717
BTC,2020-08-18,12399.11188,11916.58022,12476.69704,11778.30371,1.239911188
BTC,2020-08-19,12071.73891,12299.81621,12391.84071,11840.39237,1.207173891
BTC,2020-08-20,11749.82951,11959.02939,12029.75799,11589.5762,1.174982951
BTC,2020-08-21,11833.89735,11766.18313,11899.96341,11690.15508,1.183389735
BTC,2020-08-22,11583.13894,11866.28401,11890.03166,11525.26123,1.158313894
BTC,2020-08-23,11674.62435,11539.71729,11694.47049,11393.21033,1.167462435
BTC,2020-08-24,11666.41012,11677.05824,11726.23458,11539.08981,1.166641012
BTC,2020-08-25,11744.0127,11660.39682,11835.35928,11601.74066,1.17440127
BTC,2020-08-26,11378.72603,11759.3614,11771.3353,11133.16876,1.137872603
BTC,2020-08-27,11458.8226,11334.03573,11546.20239,11265.22814,1.14588226
BTC,2020-08-28,11302.12096,11467.29065,11594.64626,11157.08574,1.130212096
BTC,2020-08-29,11482.22569,11339.74802,11553.53918,11294.18591,1.148222569
BTC,2020-08-30,11515.04443,11540.72864,11586.30657,11435.40076,1.151504443
BTC,2020-08-31,11657.00393,11483.12875,11694.6708,11476.07202,1.165700393
BTC,2020-09-01,11678.37326,11712.97262,11799.52944,11579.88329,1.167837326
BTC,2020-09-02,11964.20867,11661.42734,12070.22741,11544.42003,1.196420867
BTC,2020-09-03,11427.7026,11923.19964,11954.16268,11217.45383,1.14277026
BTC,2020-09-04,10712.92065,11409.72633,11470.80702,10505.14681,1.071292065
BTC,2020-09-05,10563.89694,10177.72164,10644.24117,10118.71861,1.056389694
BTC,2020-09-06,10042.85485,10470.02669,10574.30731,9894.2254,1.004285485
BTC,2020-09-07,10207.605,10174.86343,10355.65249,10014.27766,1.0207605
BTC,2020-09-08,10381.77611,10265.74299,10383.11924,9891.734243,1.038177611
BTC,2020-09-09,10043.19644,10381.67682,10444.17113,9868.937984,1.004319644
BTC,2020-09-10,10268.46092,10136.56084,10352.41519,9989.510556,1.026846092
BTC,2020-09-11,10341.01598,10230.63553,10483.56121,10224.03739,1.034101598
BTC,2020-09-12,10380.5396,10347.66121,10403.75568,10214.66973,1.03805396
BTC,2020-09-13,10436.36541,10400.85545,10484.8759,10286.42747,1.043636541
BTC,2020-09-14,10313.06858,10450.94952,10585.88066,10226.42392,1.031306858
BTC,2020-09-15,10680.29756,10337.71258,10759.1361,10281.58014,1.068029756
BTC,2020-09-16,10829.50531,10683.00291,10944.65131,10636.18826,1.082950531
BTC,2020-09-17,11033.38353,10792.31023,11103.79648,10683.79026,1.103338353
BTC,2020-09-18,10937.11126,10966.38648,11061.28463,10762.41738,1.093711126
BTC,2020-09-19,10933.93116,10947.23137,11035.0532,10830.85247,1.093393116
BTC,2020-09-20,11048.87928,10940.13447,11180.39531,10904.19962,1.104887928
BTC,2020-09-21,10852.91014,11085.429,11085.429,10773.33219,1.085291014
BTC,2020-09-22,10526.20289,10925.51079,10991.69454,10322.59482,1.052620289
BTC,2020-09-23,10531.16456,10423.27155,10579.30131,10371.91657,1.053116456
BTC,2020-09-24,10260.03301,10536.31722,10541.16888,10209.06313,1.026003301
BTC,2020-09-25,10672.95681,10241.16589,10712.49925,10200.88278,1.067295681
BTC,2020-09-26,10729.06961,10736.65234,10759.7111,10569.43458,1.072906961
BTC,2020-09-27,10741.47647,10692.46427,10777.57591,10657.52315,1.074147647
BTC,2020-09-28,10752.34545,10734.50124,10802.37407,10599.58841,1.075234545
BTC,2020-09-29,10863.06572,10776.30436,10948.06266,10776.30436,1.086306572
BTC,2020-09-30,10764.28437,10691.97856,10793.60349,10640.69415,1.076428437
BTC,2020-10-01,10741.57955,10843.38826,10849.73073,10672.79503,1.074157955
BTC,2020-10-02,10626.60096,10778.89849,10931.6335,10470.69372,1.062660096
BTC,2020-10-03,10567.3302,10624.91072,10670.71056,10386.91138,1.05673302
BTC,2020-10-04,10555.02868,10578.91957,10609.23748,10512.33934,1.055502868
BTC,2020-10-05,10660.61118,10559.31466,10702.51138,10535.82272,1.066061118
BTC,2020-10-06,10756.40458,10672.16544,10770.46301,10630.95649,1.075640458
BTC,2020-10-07,10589.62639,10793.15206,10798.98132,10543.48911,1.058962639
BTC,2020-10-08,10645.75479,10600.66078,10680.64123,10554.84167,1.064575479
BTC,2020-10-09,10897.59543,10669.07004,10949.34337,10544.3758,1.089759543
BTC,2020-10-10,11052.39508,10929.59262,11106.33446,10843.4743,1.105239508
BTC,2020-10-11,11360.85272,11059.81357,11484.16448,11058.74049,1.136085272
BTC,2020-10-12,11334.02674,11293.20701,11436.21148,11282.50356,1.133402674
BTC,2020-10-13,11666.2117,11372.10996,11723.64386,11210.86134,1.16662117
BTC,2020-10-14,11443.73279,11534.60957,11564.64006,11333.53492,1.144373279
BTC,2020-10-15,11395.54737,11431.09404,11540.06492,11302.77704,1.139554737
BTC,2020-10-16,11504.54901,11433.45754,11610.2504,11291.89809,1.150454901
BTC,2020-10-17,11355.16044,11511.9022,11544.48601,11227.07106,1.135516044
BTC,2020-10-18,11358.70638,11329.99473,11410.16368,11282.94789,1.135870638
BTC,2020-10-19,11471.00255,11368.41235,11486.98541,11356.17416,1.147100255
BTC,2020-10-20,11776.593,11514.6451,11825.64774,11419.08229,1.1776593
BTC,2020-10-21,11936.36291,11754.18203,11993.92588,11693.78394,1.193636291
BTC,2020-10-22,13102.93446,11920.41139,13109.16597,11900.21384,1.310293446
BTC,2020-10-23,13140.66928,12801.68807,13192.25287,12697.45705,1.314066928
BTC,2020-10-24,12933.82357,12980.8801,13029.96389,12731.05779,1.293382357
BTC,2020-10-25,13081.67256,12929.8494,13168.33883,12877.93801,1.308167256
BTC,2020-10-26,13008.45326,13115.83352,13342.75028,12906.70059,1.300845326
BTC,2020-10-27,13033.52427,13038.91554,13243.9959,12811.54603,1.303352427
BTC,2020-10-28,13721.28222,13069.23614,13756.3317,13062.40879,1.372128222
BTC,2020-10-29,13282.26035,13647.57292,13847.53352,12894.89932,1.328226035
BTC,2020-10-30,13467.73178,13280.36559,13640.13894,12994.98437,1.346773178
BTC,2020-10-31,13573.7105,13461.38352,13667.74723,13134.48008,1.35737105
BTC,2020-11-01,13891.21683,13574.92722,14093.05295,13438.93538,1.389121683
BTC,2020-11-02,13730.19731,13810.64198,13907.31295,13641.54034,1.373019731
BTC,2020-11-03,13633.69822,13768.95676,13837.85118,13270.20734,1.363369822
BTC,2020-11-04,13832.93841,13565.13068,13842.47454,13301.61195,1.383293841
BTC,2020-11-05,14163.97682,14014.73488,14257.52971,13582.4022,1.416397682
BTC,2020-11-06,15424.52768,14156.60864,15494.57817,14104.90209,1.542452768
BTC,2020-11-07,15540.59659,15607.5055,15971.64142,15202.76451,1.554059659
BTC,2020-11-08,14783.98168,15603.25854,15764.1047,14330.68183,1.478398168
BTC,2020-11-09,15500.33425,14820.43647,15657.12904,14711.54819,1.550033425
BTC,2020-11-10,15283.78014,15481.90608,15810.77379,14845.79176,1.528378014
BTC,2020-11-11,15374.04439,15327.58839,15448.41275,15092.3898,1.537404439
BTC,2020-11-12,15820.49524,15316.74901,15973.07608,15294.29332,1.582049524
BTC,2020-11-13,16253.31027,15701.8651,16348.4628,15474.76108,1.625331027
BTC,2020-11-14,16347.04492,16302.8428,16487.48815,15971.1428,1.634704492
BTC,2020-11-15,15991.83302,16329.79889,16333.51314,15718.88879,1.599183302
BTC,2020-11-16,15918.08013,16078.97001,16167.39692,15792.77908,1.591808013
BTC,2020-11-17,16752.00299,15969.51601,16885.58019,15881.70385,1.675200299
BTC,2020-11-18,17593.48641,16718.59966,17831.23118,16560.99963,1.759348641
BTC,2020-11-19,17834.63653,17672.65284,18358.97625,17283.49485,1.783463653
BTC,2020-11-20,17954.85801,17786.21258,18170.83027,17381.23626,1.795485801
BTC,2020-11-21,18612.87067,17823.3433,18813.40769,17762.92882,1.861287067
BTC,2020-11-22,18591.8566,18666.58022,18964.64351,18368.28996,1.85918566
BTC,2020-11-23,18629.99554,18683.8472,18732.99132,17806.2676,1.862999554
BTC,2020-11-24,18469.20047,18405.5557,18752.16004,17990.11089,1.846920047
BTC,2020-11-25,19045.73647,18370.21961,19392.90868,18059.26543,1.904573647
BTC,2020-11-26,18746.93481,19136.08297,19391.46366,18640.64218,1.874693481
BTC,2020-11-27,17187.40628,18719.20716,18908.63553,16242.70294,1.718740628
BTC,2020-11-28,17023.9614,17180.71873,17482.2001,16489.30267,1.70239614
BTC,2020-11-29,17814.78028,17159.1095,17901.38262,16906.1761,1.781478028
BTC,2020-11-30,18114.41435,17742.82304,18356.31323,17545.19622,1.811441435
BTC,2020-12-01,19382.36059,18201.27725,19850.11449,18201.27725,1.938236059
BTC,2020-12-02,18980.97745,19677.98984,19920.53426,18171.75051,1.898097745
BTC,2020-12-03,19184.89785,18796.74864,19357.16459,18360.23172,1.918489785
BTC,2020-12-04,19464.5317,19220.59015,19607.85534,18899.48869,1.94645317
BTC,2020-12-05,18813.12476,19441.5588,19539.86235,18717.12493,1.881312476
BTC,2020-12-06,19045.02027,18668.15855,19200.79191,18518.85142,1.904502027
BTC,2020-12-07,19113.9334,19162.26446,19347.62491,18927.29956,1.91139334
BTC,2020-12-08,19107.5998,19373.44523,19433.09749,18931.5713,1.91075998
BTC,2020-12-09,18682.45783,19177.92617,19299.04708,18630.74248,1.868245783
BTC,2020-12-10,18543.00705,18320.23313,18618.96013,17640.56207,1.854300705
BTC,2020-12-11,18359.4766,18557.45291,18565.21617,17904.06899,1.83594766
BTC,2020-12-12,18137.31937,18255.77375,18293.55273,17593.1721,1.813731937
BTC,2020-12-13,18882.26017,18040.17062,18956.34444,18029.14317,1.888226017
BTC,2020-12-14,19060.2769,18822.50994,19408.67465,18726.84709,1.90602769
BTC,2020-12-15,19251.224,19161.13847,19323.16531,19015.68597,1.9251224
BTC,2020-12-16,19443.47635,19264.6703,19552.37198,19053.34247,1.944347635
