Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Closing Price
BTC,10/14/2020,11443.73279,11534.60957,11564.64006,11333.53492,11.44373279
BTC,10/15/2020,11395.54737,11431.09404,11540.06492,11302.77704,11.39554737
BTC,10/16/2020,11504.54901,11433.45754,11610.2504,11291.89809,11.50454901
BTC,10/17/2020,11355.16044,11511.9022,11544.48601,11227.07106,11.35516044
BTC,10/18/2020,11358.70638,11329.99473,11410.16368,11282.94789,11.35870638
BTC,10/19/2020,11471.00255,11368.41235,11486.98541,11356.17416,11.47100255
BTC,10/20/2020,11776.593,11514.6451,11825.64774,11419.08229,11.776593
BTC,10/21/2020,11936.36291,11754.18203,11993.92588,11693.78394,11.93636291
BTC,10/22/2020,13102.93446,11920.41139,13109.16597,11900.21384,13.10293446
BTC,10/23/2020,13140.66928,12801.68807,13192.25287,12697.45705,13.14066928
BTC,10/24/2020,12933.82357,12980.8801,13029.96389,12731.05779,12.93382357
BTC,10/25/2020,13081.67256,12929.8494,13168.33883,12877.93801,13.08167256
BTC,10/26/2020,13008.45326,13115.83352,13342.75028,12906.70059,13.00845326
BTC,10/27/2020,13033.52427,13038.91554,13243.9959,12811.54603,13.03352427
BTC,10/28/2020,13721.28222,13069.23614,13756.3317,13062.40879,13.72128222
BTC,10/29/2020,13282.26035,13647.57292,13847.53352,12894.89932,13.28226035
BTC,10/30/2020,13467.73178,13280.36559,13640.13894,12994.98437,13.46773178
BTC,10/31/2020,13573.7105,13461.38352,13667.74723,13134.48008,13.5737105
BTC,11/1/2020,13891.21683,13574.92722,14093.05295,13438.93538,13.89121683
BTC,11/2/2020,13730.19731,13810.64198,13907.31295,13641.54034,13.73019731
BTC,11/3/2020,13633.69822,13768.95676,13837.85118,13270.20734,13.63369822
BTC,11/4/2020,13832.93841,13565.13068,13842.47454,13301.61195,13.83293841
BTC,11/5/2020,14163.97682,14014.73488,14257.52971,13582.4022,14.16397682
BTC,11/6/2020,15424.52768,14156.60864,15494.57817,14104.90209,15.42452768
BTC,11/7/2020,15540.59659,15607.5055,15971.64142,15202.76451,15.54059659
BTC,11/8/2020,14783.98168,15603.25854,15764.1047,14330.68183,14.78398168
BTC,11/9/2020,15500.33425,14820.43647,15657.12904,14711.54819,15.50033425
BTC,11/10/2020,15283.78014,15481.90608,15810.77379,14845.79176,15.28378014
BTC,11/11/2020,15374.04439,15327.58839,15448.41275,15092.3898,15.37404439
BTC,11/12/2020,15820.49524,15316.74901,15973.07608,15294.29332,15.82049524
BTC,11/13/2020,16253.31027,15701.8651,16348.4628,15474.76108,16.25331027
BTC,11/14/2020,16347.04492,16302.8428,16487.48815,15971.1428,16.34704492
BTC,11/15/2020,15991.83302,16329.79889,16333.51314,15718.88879,15.99183302
BTC,11/16/2020,15918.08013,16078.97001,16167.39692,15792.77908,15.91808013
BTC,11/17/2020,16752.00299,15969.51601,16885.58019,15881.70385,16.75200299
BTC,11/18/2020,17593.48641,16718.59966,17831.23118,16560.99963,17.59348641
BTC,11/19/2020,17834.63653,17672.65284,18358.97625,17283.49485,17.83463653
